,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1973,268053,53,0.693,0.891,-3.261,0.296,0.0281,0.0,0.143,0.532,91.1
1455,223533,30,0.451,0.682,-5.295,0.029,0.205,0.0,0.175,0.254,139.913
1666,207000,45,0.439,0.808,-6.881,0.346,0.00305,0.0,0.439,0.487,82.962
558,210693,60,0.624,0.85,-4.754,0.0756,0.00234,0.0,0.0621,0.615,98.525
320,231666,68,0.55,0.804,-5.218,0.0271,0.0148,4.33e-05,0.105,0.789,79.166
858,282306,0,0.571,0.968,-3.092,0.162,0.0649,3.07e-06,0.592,0.313,154.07
2624,216013,79,0.602,0.923,-3.763,0.044,0.0098,0.0,0.0561,0.765,136.01
3677,201787,74,0.61,0.725,-5.131,0.15,0.367,0.0,0.154,0.291,146.163
2276,222773,64,0.606,0.497,-6.611,0.0277,0.348,0.0,0.275,0.362,130.739
1519,252120,70,0.662,0.693,-4.298,0.0698,0.134,0.0,0.145,0.655,86.009
2025,289359,57,0.514,0.83,-6.077,0.044,0.0378,1.43e-06,0.122,0.138,100.631
796,190493,42,0.802,0.672,-4.971,0.0847,0.0775,0.0,0.136,0.619,96.525
102,215506,65,0.628,0.834,-6.341,0.0497,0.403,0.0,0.051,0.626,97.865
2915,207746,72,0.712,0.564,-6.527,0.047,0.0266,0.0,0.0874,0.411,95.95
236,270506,82,0.843,0.806,-5.946,0.269,0.143,0.0,0.0771,0.613,94.948
3492,217925,75,0.835,0.626,-5.833,0.125,0.0589,6e-05,0.396,0.35,91.03
3240,203000,0,0.645,0.741,-4.989,0.0339,0.0323,0.0,0.29,0.534,123.07
2708,257386,62,0.663,0.705,-4.972,0.0385,0.0654,0.0,0.117,0.477,122.014
464,254493,58,0.412,0.77,-6.057,0.18,0.462,1.5e-06,0.0485,0.418,101.955
1450,254920,36,0.477,0.865,-4.462,0.0395,0.00877,4.52e-05,0.271,0.413,120.872
3618,240050,53,0.685,0.692,-5.122,0.0457,0.328,0.0,0.153,0.578,159.966
741,278693,61,0.769,0.646,-6.653,0.199,0.0566,0.0,0.406,0.433,90.079
793,298773,73,0.851,0.849,-3.383,0.0828,0.497,2.05e-06,0.116,0.844,120.014
1288,185586,70,0.566,0.815,-4.481,0.14,0.0737,0.0,0.12,0.672,169.961
2193,215226,75,0.735,0.766,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.985
3225,180933,84,0.614,0.318,-12.695,0.0478,0.896,0.00239,0.0795,0.112,119.959
12,258560,68,0.708,0.772,-4.264,0.0322,0.0267,0.0,0.467,0.861,103.035
1038,266066,39,0.892,0.628,-3.832,0.216,0.169,0.0,0.102,0.676,92.063
